"all       107         749       0.278       0.194      0.0611      0.0186"
"0         107          61      0.0439        0.23      0.0393      0.0126"
"1         107          35      0.0227      0.0571      0.0112      0.0015"
"2         107          35      0.0262       0.143      0.0137     0.00428"
"3         107          37      0.0327       0.243      0.0216     0.00656"
"4         107          55       0.149      0.0727      0.0559       0.014"
"5         107          30      0.0632         0.8       0.127      0.0405"
"6         107          47      0.0774       0.532       0.156      0.0435"
"7         107          43      0.0911       0.395       0.162      0.0389"
"8         107          45      0.0262       0.711      0.0639      0.0168"
"9         107          39      0.0202       0.487      0.0695      0.0193"
"A         107          41      0.0373       0.341       0.077      0.0357"
"B         107          24       0.115       0.458       0.172      0.0564"
"C         107           4           0           0           0           0"
"D         107          11           1           0        0.05      0.0195"
"E         107          24       0.195      0.0833       0.108      0.0381"
"F         107           4           0           0      0.0167     0.00668"
"G         107          42      0.0987         0.5       0.113      0.0401"
"H         107          35      0.0933         0.4       0.232      0.0584"
"I         107          13           0           0           0           0"
"J         107           1           1           0           0           0"
"K         107           8           1           0           0           0"
"L         107           3           1           0      0.0281     0.00281"
"M         107          12           0           0    0.000276    2.76e-05"
"N         107           1      0.0877           1       0.124      0.0124"
"O         107           7       0.742       0.143       0.145      0.0726"
"P         107           8       0.696       0.125       0.169       0.065"
"Q         107           9           0           0     0.00296     0.00104"
"R         107          11       0.199       0.182       0.191      0.0573"
"S         107           6           0           0     0.00154    0.000462"
"T         107           2           0           0           0           0"
"U         107           7           0           0           0           0"
"V         107          14       0.199      0.0714      0.0454      0.0052"
"W         107          10           1           0           0           0"
"X         107           7           1           0           0           0"
"Y         107           9           0           0     0.00388    0.000388"
"Z         107           9           1           0           0           0"
